train_task_loss_step,epoch,step,val_task_loss,train_task_loss_epoch
,52,688,,3.5595192909240723
6.066377639770508,53,689,,
0.858134925365448,53,699,,
,53,701,10.10862922668457,
,53,701,,3.7742714881896973
2.2446913719177246,54,709,,
,54,714,10.114543914794922,
,54,714,,3.6310927867889404
4.136896133422852,55,719,,
,55,727,10.386919021606445,
,55,727,,3.62678861618042
5.410492897033691,56,729,,
5.711457252502441,56,739,,
,56,740,8.682156562805176,
,56,740,,4.12311315536499
5.719644546508789,57,749,,
,57,753,10.504040718078613,
,57,753,,3.6596858501434326
1.0171459913253784,58,759,,
,58,766,10.017526626586914,
,58,766,,3.632641553878784
3.273385524749756,59,769,,
0.2681891918182373,59,779,,
,59,779,10.196375846862793,
,59,779,,3.3764657974243164
3.3153305053710938,60,789,,
,60,792,10.284870147705078,
,60,792,,3.3741092681884766
3.3448264598846436,61,799,,
,61,805,10.12716007232666,
,61,805,,3.820768356323242
2.1455912590026855,62,809,,
,62,818,10.46753215789795,
,62,818,,3.733243703842163
