train_loss_step,train_concept_loss_step,train_task_loss_step,epoch,step,val_loss,val_concept_loss,val_task_loss,val_logit_min,val_logit_mean,val_logit_max,val_best_threshold,val_best_mcc,train_loss_epoch,train_concept_loss_epoch,train_task_loss_epoch
0.8055985569953918,0.34647998213768005,0.6323585510253906,0,9,,,,,,,,,,,
,,,0,15,0.6926003098487854,0.1326426863670349,0.6262789964675903,-0.581701397895813,-0.3978317975997925,-0.37434399127960205,0.10000000149011612,0.0,,,
,,,0,15,,,,,,,,,1.0669728517532349,0.44339635968208313,0.8452747464179993
0.7348142862319946,0.2880227863788605,0.5908029079437256,1,19,,,,,,,,,,,
0.6553428769111633,0.28294840455055237,0.5138686895370483,1,29,,,,,,,,,,,
,,,1,31,0.6696484088897705,0.1262003481388092,0.6065483093261719,-0.6363100409507751,-0.48808029294013977,-0.478618860244751,0.10000000149011612,0.0,,,
,,,1,31,,,,,,,,,0.7789297699928284,0.2700258493423462,0.6439168453216553
0.9430240392684937,0.3385811448097229,0.7737334966659546,2,39,,,,,,,,,,,
,,,2,47,0.617814838886261,0.13693204522132874,0.5493488311767578,-0.8215644359588623,-0.8141008615493774,-0.8135390281677246,0.10000000149011612,0.0,,,
,,,2,47,,,,,,,,,0.7451444268226624,0.2579987943172455,0.6161450743675232
0.725097119808197,0.1982761174440384,0.625959038734436,3,49,,,,,,,,,,,
0.6214633584022522,0.2544127404689789,0.49425697326660156,3,59,,,,,,,,,,,
,,,3,63,0.5941965579986572,0.17229706048965454,0.5080479979515076,-1.5064178705215454,-1.4556248188018799,-1.309928297996521,0.10000000149011612,0.0,,,
,,,3,63,,,,,,,,,0.7530376315116882,0.25976184010505676,0.6231567859649658
1.1272976398468018,0.30053871870040894,0.9770282506942749,4,69,,,,,,,,,,,
0.39398980140686035,0.16726963222026825,0.31035497784614563,4,79,,,,,,,,,,,
,,,4,79,0.6044289469718933,0.16232828795909882,0.5232648253440857,-1.13826584815979,-1.0654038190841675,-1.007323980331421,0.25,0.046438947319984436,,,
,,,4,79,,,,,,,,,0.752051830291748,0.26191046833992004,0.6210964918136597
0.6465151906013489,0.25206199288368225,0.520484209060669,5,89,,,,,,,,,,,
,,,5,95,0.600620448589325,0.14174456894397736,0.5297482013702393,-1.1487648487091064,-1.0486701726913452,-0.9670562148094177,0.10000000149011612,0.0,,,
,,,5,95,,,,,,,,,0.7317274212837219,0.26229536533355713,0.6005797386169434
0.6638687252998352,0.24605238437652588,0.5408425331115723,6,99,,,,,,,,,,,
0.9249175190925598,0.3016067445278168,0.7741141319274902,6,109,,,,,,,,,,,
,,,6,111,0.6014339327812195,0.17737697064876556,0.5127453804016113,-1.2350385189056396,-1.1139154434204102,-1.0418357849121094,0.25,0.19777248799800873,,,
,,,6,111,,,,,,,,,0.7340462803840637,0.25727126002311707,0.6054106950759888
0.7448199987411499,0.2198394387960434,0.6349002718925476,7,119,,,,,,,,,,,
,,,7,127,0.6014195680618286,0.169684499502182,0.5165773034095764,-1.3378379344940186,-1.1321042776107788,-1.0230116844177246,0.25,0.08601310104131699,,,
,,,7,127,,,,,,,,,0.7321304678916931,0.2610194683074951,0.6016206741333008
0.6403302550315857,0.2655428946018219,0.5075588226318359,8,129,,,,,,,,,,,
0.8845808506011963,0.27866145968437195,0.7452501058578491,8,139,,,,,,,,,,,
,,,8,143,0.5786295533180237,0.15976166725158691,0.4987487494945526,-1.4347634315490723,-1.382832646369934,-1.2883408069610596,0.20000000298023224,0.22259633243083954,,,
,,,8,143,,,,,,,,,0.7228832244873047,0.2637542486190796,0.5910061597824097
0.873825192451477,0.25537246465682983,0.7461389303207397,9,149,,,,,,,,,,,
0.47548651695251465,0.2650686204433441,0.3429522216320038,9,159,,,,,,,,,,,
,,,9,159,0.6452732086181641,0.17554794251918793,0.5574992299079895,-0.8624694347381592,-0.7806218862533569,-0.6539483070373535,0.10000000149011612,0.0,,,
,,,9,159,,,,,,,,,0.7300354838371277,0.26545146107673645,0.5973097681999207
1.0004944801330566,0.35736367106437683,0.8218126893043518,10,169,,,,,,,,,,,
,,,10,175,0.5879585146903992,0.15021590888500214,0.5128505229949951,-1.3870081901550293,-1.2967677116394043,-1.2183418273925781,0.10000000149011612,0.0,,,
,,,10,175,,,,,,,,,0.732934832572937,0.26888400316238403,0.5984929203987122
0.5618978142738342,0.23393140733242035,0.44493213295936584,11,179,,,,,,,,,,,
0.59394770860672,0.23756979405879974,0.4751628041267395,11,189,,,,,,,,,,,
