train_loss_step,train_task_loss_step,train_concept_loss_step,epoch,step,val_loss,val_task_loss,val_concept_loss,train_loss_epoch,train_task_loss_epoch,train_concept_loss_epoch
1.6087669134140015,1.0175528526306152,0.5912140607833862,0,9,,,,,,
11.672623634338379,11.106600761413574,0.5660231709480286,0,19,,,,,,
2.8927223682403564,2.1358840465545654,0.7568383812904358,0,29,,,,,,
3.767169237136841,3.0226194858551025,0.7445498108863831,0,39,,,,,,
,,,0,45,3.2580103874206543,2.6369872093200684,0.621023416519165,,,
,,,0,45,,,,6.228455066680908,5.571139812469482,0.6573127508163452
4.39261531829834,3.7295451164245605,0.6630703210830688,1,49,,,,,,
0.8160058259963989,0.24287065863609314,0.5731351971626282,1,59,,,,,,
4.568127155303955,3.982614278793335,0.5855127573013306,1,69,,,,,,
3.9196414947509766,3.370187282562256,0.5494542121887207,1,79,,,,,,
5.35991096496582,4.739684104919434,0.6202268004417419,1,89,,,,,,
,,,1,91,3.2306690216064453,2.665954828262329,0.5647141337394714,,,
,,,1,91,,,,3.6331863403320312,3.022062301635742,0.6111240386962891
1.4889116287231445,0.8666926622390747,0.6222190260887146,2,99,,,,,,
4.139316558837891,3.521566152572632,0.6177504658699036,2,109,,,,,,
4.236486911773682,3.69783091545105,0.5386558771133423,2,119,,,,,,
1.921985149383545,1.3114023208618164,0.6105828285217285,2,129,,,,,,
,,,2,137,3.112830638885498,2.5323586463928223,0.580472469329834,,,
,,,2,137,,,,3.295889377593994,2.7026541233062744,0.5932353138923645
5.962711811065674,5.349798202514648,0.6129134297370911,3,139,,,,,,
3.603058338165283,2.9028525352478027,0.7002056837081909,3,149,,,,,,
3.430450439453125,2.874091386795044,0.556359052658081,3,159,,,,,,
3.1804075241088867,2.507215976715088,0.6731915473937988,3,169,,,,,,
0.8802685141563416,0.2909000515937805,0.589368462562561,3,179,,,,,,
,,,3,183,3.2772910594940186,2.7045037746429443,0.5727878212928772,,,
,,,3,183,,,,3.3755810260772705,2.7945494651794434,0.5810317993164062
10.217633247375488,9.635234832763672,0.5823983550071716,4,189,,,,,,
4.699062824249268,4.066414833068848,0.6326480507850647,4,199,,,,,,
1.553938388824463,0.887427568435669,0.6665107607841492,4,209,,,,,,
2.6521825790405273,2.0383780002593994,0.6138045191764832,4,219,,,,,,
4.950899124145508,4.395711421966553,0.5551877021789551,4,229,,,,,,
,,,4,229,3.08500337600708,2.5120561122894287,0.57294762134552,,,
,,,4,229,,,,3.5902490615844727,2.931910514831543,0.6583376526832581
3.707848310470581,3.138275146484375,0.5695731043815613,5,239,,,,,,
2.3986144065856934,1.7234145402908325,0.6751999855041504,5,249,,,,,,
1.9300811290740967,1.327934741973877,0.6021464467048645,5,259,,,,,,
7.426003456115723,6.662880897521973,0.7631223797798157,5,269,,,,,,
,,,5,275,4.955367088317871,4.213454246520996,0.7419130802154541,,,
,,,5,275,,,,4.1341681480407715,3.44283390045166,0.6913340091705322
5.2232465744018555,4.28294563293457,0.9403011202812195,6,279,,,,,,
6.855761528015137,5.643143177032471,1.2126182317733765,6,289,,,,,,
5.595533847808838,4.722724437713623,0.8728094696998596,6,299,,,,,,
5.905068397521973,5.08128547668457,0.8237828016281128,6,309,,,,,,
2.7744739055633545,1.9938805103302002,0.7805933356285095,6,319,,,,,,
,,,6,321,3.6911675930023193,3.1001768112182617,0.5909910202026367,,,
,,,6,321,,,,4.374388694763184,3.546795606613159,0.8275934457778931
4.881402969360352,4.205409049987793,0.6759938597679138,7,329,,,,,,
3.7402050495147705,3.095698833465576,0.6445062160491943,7,339,,,,,,
2.3708488941192627,1.6171681880950928,0.7536807656288147,7,349,,,,,,
0.8002059459686279,0.00164940080139786,0.7985565662384033,7,359,,,,,,
,,,7,367,3.506751537322998,2.9094409942626953,0.5973107218742371,,,
,,,7,367,,,,3.8994991779327393,3.2173051834106445,0.68219393491745
1.8412388563156128,1.188578486442566,0.6526603698730469,8,369,,,,,,
7.112240314483643,6.460546016693115,0.6516944766044617,8,379,,,,,,
3.3440563678741455,2.3905951976776123,0.9534611701965332,8,389,,,,,,
6.96113395690918,5.707613945007324,1.253519892692566,8,399,,,,,,
0.9560546875,0.06848546117544174,0.8875692486763,8,409,,,,,,
,,,8,413,13.007174491882324,12.281917572021484,0.7252562046051025,,,
,,,8,413,,,,4.876490592956543,4.068449020385742,0.808041512966156
2.9591522216796875,2.3230295181274414,0.6361227631568909,9,419,,,,,,
3.492633819580078,2.7982230186462402,0.6944108605384827,9,429,,,,,,
5.943257808685303,5.303901672363281,0.6393560767173767,9,439,,,,,,
5.40571928024292,4.755172252655029,0.650547206401825,9,449,,,,,,
0.5691381692886353,0.0,0.5691381692886353,9,459,,,,,,
,,,9,459,4.489866256713867,3.864558219909668,0.625307559967041,,,
,,,9,459,,,,3.9319756031036377,3.2253663539886475,0.7066094279289246
5.235056400299072,4.706414699554443,0.5286416411399841,10,469,,,,,,
0.9718829393386841,0.4136448800563812,0.5582380294799805,10,479,,,,,,
4.377879619598389,3.789010524749756,0.5888689756393433,10,489,,,,,,
3.5415046215057373,2.895502805709839,0.6460018157958984,10,499,,,,,,
,,,10,505,3.4286577701568604,2.8510262966156006,0.577631413936615,,,
,,,10,505,,,,3.707443952560425,3.1187849044799805,0.5886586308479309
1.593701720237732,0.9942489862442017,0.5994527339935303,11,509,,,,,,
3.0272724628448486,2.5042128562927246,0.5230595469474792,11,519,,,,,,
5.679646015167236,5.145642280578613,0.5340036749839783,11,529,,,,,,
3.10787296295166,2.612518072128296,0.4953549802303314,11,539,,,,,,
