train_loss_step,train_concept_loss_step,train_task_loss_base_step,train_intervention_loss_step,train_task_loss_rollout_step,train_avg_interventions_step,current_horizon_step,epoch,step,val_loss,val_task_loss,val_concept_loss,train_loss_epoch,train_concept_loss_epoch,train_task_loss_base_epoch,train_intervention_loss_epoch,train_task_loss_rollout_epoch,train_avg_interventions_epoch,current_horizon_epoch
inf,0.5778754949569702,8.88082504272461,inf,18.46652603149414,2.0,2.0,0,9,,,,,,,,,,
,,,,,,,0,12,4.287047863006592,3.6752827167510986,0.6117652654647827,,,,,,,
,,,,,,,0,12,,,,inf,0.6331419944763184,8.296270370483398,inf,17.311059951782227,2.0,2.0
inf,0.5140007138252258,3.3077003955841064,inf,7.348397254943848,2.0,2.009999990463257,1,19,,,,,,,,,,
,,,,,,,1,25,3.5261788368225098,2.9641284942626953,0.5620503425598145,,,,,,,
,,,,,,,1,25,,,,inf,0.5509601831436157,3.7773349285125732,inf,8.131614685058594,2.0,2.009999990463257
inf,0.5873223543167114,2.603576183319092,inf,5.140244483947754,2.0,2.020050048828125,2,29,,,,,,,,,,
,,,,,,,2,38,4.153933048248291,3.6449084281921387,0.5090245008468628,,,,,,,
,,,,,,,2,38,,,,inf,0.5855286717414856,3.398672103881836,inf,6.718385219573975,2.0,2.020050048828125
inf,0.5640057921409607,0.8486191034317017,inf,1.065523386001587,2.0,2.0301501750946045,3,39,,,,,,,,,,
inf,0.46043479442596436,1.6782207489013672,inf,3.562155246734619,2.0,2.0301501750946045,3,49,,,,,,,,,,
,,,,,,,3,51,3.60481595993042,3.2084860801696777,0.39632973074913025,,,,,,,
,,,,,,,3,51,,,,inf,0.47559651732444763,2.9849982261657715,inf,6.207488536834717,2.0,2.0301499366760254
inf,0.5181958079338074,3.3113045692443848,inf,7.521702766418457,2.0,2.0403010845184326,4,59,,,,,,,,,,
,,,,,,,4,64,3.796522378921509,3.392099142074585,0.40442317724227905,,,,,,,
,,,,,,,4,64,,,,inf,0.4536084532737732,2.691845655441284,inf,5.081246852874756,2.0,2.0403008460998535
inf,0.307932049036026,1.2980597019195557,inf,1.3614896535873413,2.0,2.0505025386810303,5,69,,,,,,,,,,
,,,,,,,5,77,3.3876211643218994,3.075497627258301,0.31212317943573,,,,,,,
,,,,,,,5,77,,,,inf,0.3507797420024872,2.6406755447387695,inf,5.394020080566406,2.0,2.0505027770996094
inf,0.3242936432361603,1.5152666568756104,inf,3.2490482330322266,2.0,2.0607550144195557,6,79,,,,,,,,,,
inf,0.4347652196884155,3.625662326812744,inf,8.928176879882812,2.0,2.0607550144195557,6,89,,,,,,,,,,
,,,,,,,6,90,3.8740062713623047,3.5183866024017334,0.35561996698379517,,,,,,,
,,,,,,,6,90,,,,inf,0.36052560806274414,2.3033716678619385,inf,5.556941509246826,2.0,2.0607550144195557
inf,0.4745314419269562,1.5725302696228027,inf,3.2520761489868164,2.0,2.071058750152588,7,99,,,,,,,,,,
,,,,,,,7,103,3.732311248779297,3.4271159172058105,0.305195152759552,,,,,,,
,,,,,,,7,103,,,,inf,0.3797755539417267,2.1333582401275635,inf,4.206480503082275,2.0,2.071058511734009
inf,0.2954023480415344,3.165724277496338,inf,7.356182098388672,2.0,2.081413984298706,8,109,,,,,,,,,,
,,,,,,,8,116,3.717238426208496,3.3845863342285156,0.33265218138694763,,,,,,,
,,,,,,,8,116,,,,inf,0.34851062297821045,2.7946934700012207,inf,6.615999698638916,2.0,2.081413745880127
inf,0.37106531858444214,2.3619511127471924,inf,3.65316104888916,2.0,2.0918211936950684,9,119,,,,,,,,,,
38.42371368408203,0.6040940880775452,2.590843677520752,8.760313034057617,8.947836875915527,2.0,2.0918211936950684,9,129,,,,,,,,,,
,,,,,,,9,129,4.519136905670166,3.9330198764801025,0.5861172080039978,,,,,,,
,,,,,,,9,129,,,,inf,0.46211129426956177,1.8028992414474487,inf,4.755682468414307,2.0,2.0918216705322266
inf,1.2594355344772339,2.583542585372925,inf,5.279196739196777,2.0,2.102280378341675,10,139,,,,,,,,,,
,,,,,,,10,142,5.225807189941406,4.375947952270508,0.8498589396476746,,,,,,,
,,,,,,,10,142,,,,inf,1.1489254236221313,3.0665647983551025,inf,6.913765907287598,2.0,2.1022801399230957
inf,0.36094018816947937,3.657467842102051,inf,5.567929744720459,2.0,2.1127917766571045,11,149,,,,,,,,,,
,,,,,,,11,155,3.5059781074523926,3.195234537124634,0.3107435405254364,,,,,,,
,,,,,,,11,155,,,,inf,0.4985252916812897,2.468076229095459,inf,4.530172348022461,2.0,2.1127915382385254
inf,0.2721494138240814,1.916426181793213,inf,2.479956865310669,2.0,2.1233556270599365,12,159,,,,,,,,,,
,,,,,,,12,168,3.9533042907714844,3.6833739280700684,0.26993030309677124,,,,,,,
,,,,,,,12,168,,,,inf,0.29492130875587463,1.6278942823410034,inf,3.057908773422241,2.0,2.1233556270599365
inf,0.2768585681915283,1.386587381362915,inf,2.3290023803710938,2.0,2.133972406387329,13,169,,,,,,,,,,
inf,0.4265872836112976,0.3360644578933716,inf,0.13593551516532898,2.0,2.133972406387329,13,179,,,,,,,,,,
,,,,,,,13,181,4.147924423217773,3.746302366256714,0.4016225337982178,,,,,,,
,,,,,,,13,181,,,,inf,0.3389674723148346,1.4970289468765259,inf,3.763312339782715,2.0,2.133972406387329
inf,0.27631157636642456,1.5095322132110596,inf,1.5474388599395752,2.0,2.1446423530578613,14,189,,,,,,,,,,
,,,,,,,14,194,3.7933175563812256,3.502903461456299,0.2904139459133148,,,,,,,
