train_loss_step,train_task_loss_step,train_concept_loss_step,epoch,step,val_loss,val_task_loss,val_concept_loss,train_loss_epoch,train_task_loss_epoch,train_concept_loss_epoch
39.69102478027344,39.121131896972656,0.5698947906494141,0,9,,,,,,
,,,0,15,14.911517143249512,14.344581604003906,0.566936194896698,,,
,,,0,15,,,,26.20818328857422,25.59527015686035,0.6129183173179626
8.84482479095459,8.217576026916504,0.6272488832473755,1,19,,,,,,
10.529657363891602,9.93179988861084,0.5978579521179199,1,29,,,,,,
,,,1,31,16.173641204833984,15.685378074645996,0.48826348781585693,,,
,,,1,31,,,,10.240949630737305,9.613846778869629,0.6271039843559265
9.066893577575684,8.326470375061035,0.7404230833053589,2,39,,,,,,
,,,2,47,11.074801445007324,10.612757682800293,0.46204236149787903,,,
,,,2,47,,,,10.000925064086914,9.364968299865723,0.6359561085700989
3.5601682662963867,2.907745361328125,0.6524230241775513,3,49,,,,,,
4.612524032592773,4.028167724609375,0.5843563675880432,3,59,,,,,,
,,,3,63,7.038301467895508,6.631864070892334,0.4064381718635559,,,
,,,3,63,,,,8.099557876586914,7.500516414642334,0.5990405678749084
8.145574569702148,7.540597438812256,0.6049766540527344,4,69,,,,,,
14.911572456359863,14.414470672607422,0.49710220098495483,4,79,,,,,,
,,,4,79,15.614175796508789,15.179651260375977,0.43452540040016174,,,
,,,4,79,,,,7.637587070465088,7.070034980773926,0.5675498843193054
10.73632526397705,10.155973434448242,0.5803520679473877,5,89,,,,,,
,,,5,95,9.316266059875488,8.960079193115234,0.3561879098415375,,,
,,,5,95,,,,8.592334747314453,8.028843879699707,0.5634905099868774
9.691993713378906,9.193376541137695,0.4986170828342438,6,99,,,,,,
10.74647331237793,10.273006439208984,0.4734668731689453,6,109,,,,,,
,,,6,111,8.721972465515137,8.40722942352295,0.3147423565387726,,,
,,,6,111,,,,7.4500813484191895,6.917982578277588,0.5320987105369568
3.159879684448242,2.7547292709350586,0.40515050292015076,7,119,,,,,,
,,,7,127,8.483207702636719,8.193593978881836,0.2896133363246918,,,
,,,7,127,,,,6.4475932121276855,5.941086769104004,0.5065069198608398
4.812621116638184,4.38020133972168,0.43241968750953674,8,129,,,,,,
8.197358131408691,7.730055332183838,0.46730318665504456,8,139,,,,,,
,,,8,143,6.552675247192383,6.317129135131836,0.23554599285125732,,,
,,,8,143,,,,4.972425937652588,4.504255294799805,0.46817055344581604
