epoch,step,train_concept_loss_epoch,train_concept_loss_step,train_loss_epoch,train_loss_step,train_task_loss_epoch,train_task_loss_step,val_concept_loss,val_loss,val_task_loss
0,9,,0.43371424078941345,,6.142287254333496,,5.708572864532471,,,
0,12,,,,,,,0.4619617760181427,6.320667266845703,5.858705520629883
0,12,0.5508077144622803,,7.430458068847656,,6.879651069641113,,,,
1,19,,0.23289449512958527,,2.177637815475464,,1.9447433948516846,,,
1,25,,,,,,,0.1941298246383667,3.864387273788452,3.670257568359375
1,25,0.27107831835746765,,4.790847301483154,,4.519769191741943,,,,
2,29,,0.3489721119403839,,6.345137119293213,,5.996164798736572,,,
2,38,,,,,,,0.2795136868953705,2.903043746948242,2.623530149459839
2,38,0.27762356400489807,,3.224367380142212,,2.946743965148926,,,,
3,39,,0.2551489472389221,,1.1124329566955566,,0.8572840690612793,,,
3,49,,0.2923959493637085,,2.732945442199707,,2.440549373626709,,,
3,51,,,,,,,0.24172019958496094,2.527280330657959,2.285559892654419
3,51,0.28918811678886414,,2.71189546585083,,2.4227075576782227,,,,
4,59,,0.1816248744726181,,2.246839761734009,,2.0652148723602295,,,
4,64,,,,,,,0.19752317667007446,2.6929771900177,2.4954543113708496
4,64,0.22441640496253967,,2.1960766315460205,,1.9716604948043823,,,,
5,69,,0.16075488924980164,,2.4145824909210205,,2.2538275718688965,,,
5,77,,,,,,,0.20716696977615356,3.697274684906006,3.490107536315918
5,77,0.20090323686599731,,2.221527576446533,,2.0206246376037598,,,,
6,79,,0.09032715111970901,,1.9373244047164917,,1.8469972610473633,,,
6,89,,0.17119431495666504,,0.5336794853210449,,0.3624851405620575,,,
6,90,,,,,,,0.17376522719860077,2.966852903366089,2.7930877208709717
6,90,0.19088147580623627,,1.8567814826965332,,1.6658999919891357,,,,
7,99,,0.3168301284313202,,3.604159355163574,,3.2873291969299316,,,
7,103,,,,,,,0.16735921800136566,2.204556941986084,2.0371975898742676
7,103,0.17300957441329956,,1.9075448513031006,,1.7345353364944458,,,,
8,109,,0.16123221814632416,,3.96396803855896,,3.8027358055114746,,,
8,116,,,,,,,0.1854943484067917,3.5317258834838867,3.34623122215271
8,116,0.16620071232318878,,1.6256111860275269,,1.459410548210144,,,,
9,119,,0.12591791152954102,,2.392076253890991,,2.26615834236145,,,
9,129,,0.2680314779281616,,0.9086167812347412,,0.6405853033065796,,,
9,129,,,,,,,0.17039769887924194,2.738121271133423,2.567723274230957
