train_loss_step,train_task_loss_step,train_concept_loss_step,epoch,step,val_loss,val_task_loss,val_concept_loss,train_loss_epoch,train_task_loss_epoch,train_concept_loss_epoch
14.13969612121582,13.48383903503418,0.6558568477630615,0,9,,,,,,
,,,0,12,4.564598083496094,3.8998775482177734,0.6647204756736755,,,
,,,0,12,,,,22.488235473632812,21.90044593811035,0.5877858400344849
3.861605405807495,3.2183656692504883,0.6432397365570068,1,19,,,,,,
,,,1,25,3.3031599521636963,2.7059993743896484,0.597161054611206,,,
,,,1,25,,,,3.5412285327911377,2.9006001949310303,0.6406285166740417
3.6566336154937744,3.0896377563476562,0.5669958591461182,2,29,,,,,,
,,,2,38,3.3016085624694824,2.8548855781555176,0.44672316312789917,,,
,,,2,38,,,,3.3279900550842285,2.7842507362365723,0.5437398552894592
1.7130471467971802,1.2857587337493896,0.4272884130477905,3,39,,,,,,
1.3656573295593262,1.141210913658142,0.2244463860988617,3,49,,,,,,
,,,3,51,2.7331714630126953,2.4894168376922607,0.2437545210123062,,,
,,,3,51,,,,2.9969992637634277,2.6530585289001465,0.3439403772354126
3.040637254714966,2.84930419921875,0.19133298099040985,4,59,,,,,,
,,,4,64,3.595329761505127,3.40972900390625,0.18560053408145905,,,
,,,4,64,,,,2.9254186153411865,2.7051541805267334,0.2202640026807785
3.1931819915771484,3.0325875282287598,0.16059446334838867,5,69,,,,,,
,,,5,77,3.638583183288574,3.4505841732025146,0.18799889087677002,,,
,,,5,77,,,,2.531806230545044,2.3351917266845703,0.19661439955234528
3.3116533756256104,3.148777484893799,0.1628759503364563,6,79,,,,,,
2.5514838695526123,2.326587677001953,0.22489628195762634,6,89,,,,,,
,,,6,90,2.9079174995422363,2.7292706966400146,0.17864663898944855,,,
,,,6,90,,,,2.1003830432891846,1.905175805091858,0.19520732760429382
2.3962039947509766,2.178297281265259,0.21790672838687897,7,99,,,,,,
,,,7,103,3.027686834335327,2.8473377227783203,0.18034924566745758,,,
,,,7,103,,,,2.204831600189209,2.0261597633361816,0.17867213487625122
