train_loss_step,train_concept_loss_step,train_task_loss_base_step,train_intervention_loss_step,train_task_loss_rollout_step,train_avg_interventions_step,current_horizon_step,epoch,step,val_loss,val_task_loss,val_concept_loss,train_loss_epoch,train_concept_loss_epoch,train_task_loss_base_epoch,train_intervention_loss_epoch,train_task_loss_rollout_epoch,train_avg_interventions_epoch,current_horizon_epoch
inf,0.6431307196617126,4.365983009338379,inf,9.384750366210938,2.0,2.0,0,9,,,,,,,,,,
,,,,,,,0,12,3.978600025177002,3.3473896980285645,0.6312101483345032,,,,,,,
,,,,,,,0,12,,,,inf,0.6542379856109619,6.443849563598633,inf,13.303016662597656,2.0,2.0
inf,0.6353729963302612,2.2564918994903564,inf,5.161947727203369,2.0,2.009999990463257,1,19,,,,,,,,,,
,,,,,,,1,25,3.698845624923706,3.067258834838867,0.6315869688987732,,,,,,,
,,,,,,,1,25,,,,inf,0.6357384324073792,2.9874792098999023,inf,6.323770523071289,2.0,2.009999990463257
inf,0.7606722712516785,1.111761450767517,inf,2.2203500270843506,2.0,2.020050048828125,2,29,,,,,,,,,,
,,,,,,,2,38,3.2093050479888916,2.683126449584961,0.526178777217865,,,,,,,
,,,,,,,2,38,,,,inf,0.7256460189819336,2.7473299503326416,inf,5.971256256103516,2.0,2.020050048828125
inf,0.5425432324409485,2.0968728065490723,inf,4.5568060874938965,2.0,2.0301501750946045,3,39,,,,,,,,,,
inf,0.3959125876426697,1.4210892915725708,inf,2.7003722190856934,2.0,2.0301501750946045,3,49,,,,,,,,,,
,,,,,,,3,51,2.5141441822052,2.1275553703308105,0.3865886628627777,,,,,,,
,,,,,,,3,51,,,,inf,0.45702433586120605,2.176703453063965,inf,5.271493434906006,2.0,2.0301499366760254
inf,0.3702341914176941,3.2795042991638184,inf,6.232789039611816,2.0,2.0403010845184326,4,59,,,,,,,,,,
,,,,,,,4,64,4.3207011222839355,4.031290054321289,0.28941091895103455,,,,,,,
,,,,,,,4,64,,,,inf,0.3358616530895233,1.8783146142959595,inf,4.211413383483887,2.0,2.0403008460998535
inf,0.3842873275279999,0.7976309061050415,inf,2.702709913253784,2.0,2.0505025386810303,5,69,,,,,,,,,,
,,,,,,,5,77,4.421656131744385,3.912766456604004,0.5088895559310913,,,,,,,
,,,,,,,5,77,,,,inf,0.4379059672355652,2.3428173065185547,inf,4.678674221038818,2.0,2.0505027770996094
inf,0.4646340310573578,1.2470190525054932,inf,1.6500924825668335,2.0,2.0607550144195557,6,79,,,,,,,,,,
inf,0.37494921684265137,2.3130455017089844,inf,7.202138423919678,2.0,2.0607550144195557,6,89,,,,,,,,,,
,,,,,,,6,90,3.896285057067871,3.5304675102233887,0.3658176362514496,,,,,,,
,,,,,,,6,90,,,,inf,0.41162776947021484,1.8963043689727783,inf,4.3082685470581055,2.0,2.0607550144195557
inf,0.4883474111557007,2.436507225036621,inf,7.8206281661987305,2.0,2.071058750152588,7,99,,,,,,,,,,
,,,,,,,7,103,3.3057851791381836,2.88633131980896,0.41945406794548035,,,,,,,
,,,,,,,7,103,,,,inf,0.4349294900894165,2.745758295059204,inf,6.5312299728393555,2.0,2.071058511734009
inf,0.5465585589408875,2.248897075653076,inf,6.018614768981934,2.0,2.081413984298706,8,109,,,,,,,,,,
,,,,,,,8,116,3.469728469848633,2.826805353164673,0.6429235935211182,,,,,,,
,,,,,,,8,116,,,,inf,0.5000742673873901,2.09954571723938,inf,4.908908367156982,2.0,2.081413745880127
inf,0.6600180864334106,0.3086651563644409,inf,2.181074857711792,2.0,2.0918211936950684,9,119,,,,,,,,,,
inf,0.6023160219192505,9.378457069396973,inf,21.946481704711914,2.0,2.0918211936950684,9,129,,,,,,,,,,
,,,,,,,9,129,4.440158843994141,3.9390532970428467,0.5011060833930969,,,,,,,
,,,,,,,9,129,,,,inf,0.6136429905891418,1.945188283920288,inf,4.345637798309326,2.0,2.0918216705322266
inf,0.3345932960510254,3.4226198196411133,inf,5.764563083648682,2.0,2.102280378341675,10,139,,,,,,,,,,
,,,,,,,10,142,2.848444700241089,2.55277419090271,0.2956705689430237,,,,,,,
,,,,,,,10,142,,,,inf,0.43385183811187744,1.8647150993347168,inf,4.999598979949951,2.0,2.1022801399230957
inf,0.39592403173446655,3.5465192794799805,inf,6.4108734130859375,2.0,2.1127917766571045,11,149,,,,,,,,,,
,,,,,,,11,155,2.7687594890594482,2.4153811931610107,0.35337814688682556,,,,,,,
,,,,,,,11,155,,,,inf,0.37407195568084717,2.0675430297851562,inf,4.483027935028076,2.0,2.1127915382385254
inf,0.48062312602996826,1.859377384185791,inf,2.783644676208496,2.0,2.1233556270599365,12,159,,,,,,,,,,
,,,,,,,12,168,3.4419989585876465,3.064720630645752,0.37727823853492737,,,,,,,
,,,,,,,12,168,,,,inf,0.37976184487342834,1.8975061178207397,inf,3.942352056503296,2.0,2.1233556270599365
inf,0.4133501648902893,2.177943229675293,inf,4.018675804138184,2.0,2.133972406387329,13,169,,,,,,,,,,
inf,0.4952469766139984,1.3748035430908203,inf,3.9276368618011475,2.0,2.133972406387329,13,179,,,,,,,,,,
,,,,,,,13,181,3.8260130882263184,3.4402153491973877,0.38579803705215454,,,,,,,
,,,,,,,13,181,,,,inf,0.45253682136535645,2.3079397678375244,inf,5.192966938018799,2.0,2.133972406387329
inf,0.2568165957927704,1.227517008781433,inf,2.8624162673950195,2.0,2.1446423530578613,14,189,,,,,,,,,,
,,,,,,,14,194,3.3416850566864014,3.036717414855957,0.3049679398536682,,,,,,,
,,,,,,,14,194,,,,inf,0.3957773447036743,1.7874505519866943,inf,4.495728015899658,2.0,2.144641876220703
inf,0.3637237548828125,1.7470362186431885,inf,0.6431425213813782,2.0,2.155365467071533,15,199,,,,,,,,,,
,,,,,,,15,207,3.1699788570404053,2.893061399459839,0.276917427778244,,,,,,,
,,,,,,,15,207,,,,inf,0.2751072645187378,1.6092485189437866,inf,3.572023630142212,2.0,2.155365228652954
inf,0.3437347114086151,1.7994972467422485,inf,5.9611406326293945,2.0,2.166142225265503,16,209,,,,,,,,,,
inf,0.8992376923561096,2.027157783508301,inf,2.8302645683288574,2.0,2.166142225265503,16,219,,,,,,,,,,
,,,,,,,16,220,3.875901937484741,3.012287139892578,0.8636146783828735,,,,,,,
,,,,,,,16,220,,,,inf,0.5411022305488586,1.7422106266021729,inf,3.3387157917022705,2.0,2.166141986846924
inf,1.197458267211914,2.9720652103424072,inf,7.070431232452393,2.0,2.1769731044769287,17,229,,,,,,,,,,
,,,,,,,17,233,4.264346122741699,3.477344036102295,0.7870019674301147,,,,,,,
,,,,,,,17,233,,,,inf,1.1065831184387207,1.8000568151474,inf,3.7813727855682373,2.0,2.1769731044769287
inf,0.7312055230140686,0.9259164929389954,inf,1.132323145866394,2.0,2.1878578662872314,18,239,,,,,,,,,,
,,,,,,,18,246,3.821324348449707,3.4269542694091797,0.39436978101730347,,,,,,,
,,,,,,,18,246,,,,inf,0.743699848651886,1.767882227897644,inf,3.6359894275665283,2.0,2.1878581047058105
inf,0.4676632881164551,0.6285479068756104,inf,1.3838136196136475,2.0,2.1987972259521484,19,249,,,,,,,,,,
13.55225944519043,0.102229543030262,0.03151959180831909,4.244986534118652,0.6835504174232483,2.0,2.1987972259521484,19,259,,,,,,,,,,
,,,,,,,19,259,3.3119773864746094,3.01462721824646,0.2973499298095703,,,,,,,
,,,,,,,19,259,,,,inf,0.32716280221939087,1.4275074005126953,inf,3.483837604522705,2.0,2.1987972259521484
