train_loss_step,train_task_loss_step,train_concept_loss_step,epoch,step,val_loss,val_task_loss,val_concept_loss,train_loss_epoch,train_task_loss_epoch,train_concept_loss_epoch
14.072152137756348,13.557409286499023,0.514742910861969,0,9,,,,,,
,,,0,12,11.645878791809082,11.417168617248535,0.22871091961860657,,,
,,,0,12,,,,10.21886157989502,9.704093933105469,0.5147671103477478
6.783767223358154,6.396495819091797,0.3872711956501007,1,19,,,,,,
,,,1,25,3.998894453048706,3.8063199520111084,0.1925746500492096,,,
,,,1,25,,,,5.9488959312438965,5.684200763702393,0.26469454169273376
3.335235357284546,3.149658203125,0.18557707965373993,2,29,,,,,,
,,,2,38,3.787820339202881,3.6188697814941406,0.16895048320293427,,,
,,,2,38,,,,4.239314556121826,4.053133964538574,0.18618062138557434
3.5614922046661377,3.3641624450683594,0.19732969999313354,3,39,,,,,,
3.817744255065918,3.6004414558410645,0.21730287373065948,3,49,,,,,,
,,,3,51,3.0481650829315186,2.8778369426727295,0.17032821476459503,,,
,,,3,51,,,,3.2257118225097656,3.0530495643615723,0.17266201972961426
3.0307657718658447,2.814145565032959,0.21662017703056335,4,59,,,,,,
,,,4,64,3.396737575531006,3.2315664291381836,0.1651713252067566,,,
,,,4,64,,,,3.3800501823425293,3.2001922130584717,0.17985770106315613
3.4895377159118652,3.3544328212738037,0.13510482013225555,5,69,,,,,,
,,,5,77,3.0171451568603516,2.8404366970062256,0.17670878767967224,,,
,,,5,77,,,,2.9611639976501465,2.7805001735687256,0.1806635707616806
2.5734245777130127,2.275582790374756,0.2978418171405792,6,79,,,,,,
3.4068543910980225,3.1942763328552246,0.21257805824279785,6,89,,,,,,
,,,6,90,3.416355609893799,3.2492666244506836,0.1670893132686615,,,
,,,6,90,,,,2.785776376724243,2.601485013961792,0.18429134786128998
2.9364449977874756,2.8141114711761475,0.12233345955610275,7,99,,,,,,
,,,7,103,3.765119791030884,3.6015713214874268,0.16354867815971375,,,
,,,7,103,,,,2.6947927474975586,2.5075016021728516,0.1872912347316742
5.962762832641602,5.680367469787598,0.2823951542377472,8,109,,,,,,
,,,8,116,3.5627970695495605,3.297466278076172,0.2653307616710663,,,
,,,8,116,,,,3.786367893218994,3.5440495014190674,0.2423185110092163
0.9488352537155151,0.8248472213745117,0.12398801743984222,9,119,,,,,,
7.607029438018799,7.250535488128662,0.35649392008781433,9,129,,,,,,
,,,9,129,3.5707247257232666,3.3961727619171143,0.17455188930034637,,,
,,,9,129,,,,3.7175989151000977,3.510197639465332,0.20740129053592682
1.5042061805725098,1.3353191614151,0.16888704895973206,10,139,,,,,,
,,,10,142,3.6117866039276123,3.427314519882202,0.18447202444076538,,,
