train_loss_step,train_task_loss_step,train_concept_loss_step,epoch,step,val_loss,val_task_loss,val_concept_loss,train_loss_epoch,train_task_loss_epoch,train_concept_loss_epoch
8.819037437438965,8.152174949645996,0.6668622493743896,0,9,,,,,,
2.949881076812744,2.317561149597168,0.6323200464248657,0,19,,,,,,
4.214801788330078,3.470651149749756,0.7441504001617432,0,29,,,,,,
9.628022193908691,9.030718803405762,0.5973033308982849,0,39,,,,,,
,,,0,45,3.0125534534454346,2.447960138320923,0.5645931363105774,,,
,,,0,45,,,,5.906620502471924,5.281052589416504,0.6255670785903931
2.682846784591675,2.076218605041504,0.6066281199455261,1,49,,,,,,
2.9558539390563965,2.3670883178710938,0.5887655019760132,1,59,,,,,,
3.539721727371216,2.88515567779541,0.6545659899711609,1,69,,,,,,
4.655147075653076,4.139035224914551,0.5161117315292358,1,79,,,,,,
