train_loss_step,train_task_loss_step,train_concept_loss_step,epoch,step,val_loss,val_task_loss,train_loss_epoch,train_task_loss_epoch,train_concept_loss_epoch
34.282310485839844,33.60154724121094,0.680761456489563,0,9,,,,,
,,,0,15,39.304962158203125,38.78047561645508,,,
,,,0,15,,,27.763025283813477,27.092607498168945,0.6704124808311462
16.282535552978516,15.747684478759766,0.5348512530326843,1,19,,,,,
10.37208366394043,9.802604675292969,0.5694788694381714,1,29,,,,,
,,,1,31,22.171106338500977,21.764753341674805,,,
,,,1,31,,,15.220480918884277,14.655247688293457,0.565234899520874
5.619657516479492,5.1070098876953125,0.5126473903656006,2,39,,,,,
,,,2,47,13.704134941101074,13.331268310546875,,,
,,,2,47,,,9.601531028747559,9.057046890258789,0.5444861650466919
14.284765243530273,13.792425155639648,0.4923399090766907,3,49,,,,,
6.111081123352051,5.666552543640137,0.444528728723526,3,59,,,,,
,,,3,63,14.118638038635254,13.892608642578125,,,
,,,3,63,,,8.477252960205078,7.997917175292969,0.47933587431907654
6.859882354736328,6.521484375,0.3383978605270386,4,69,,,,,
0.2571064233779907,2.1376850781962276e-05,0.25708505511283875,4,79,,,,,
,,,4,79,14.862645149230957,14.7236967086792,,,
,,,4,79,,,4.377466678619385,3.9978442192077637,0.379621684551239
5.245663642883301,4.903529167175293,0.34213441610336304,5,89,,,,,
,,,5,95,12.036417007446289,11.90011978149414,,,
,,,5,95,,,2.943387985229492,2.6034631729125977,0.339924693107605
0.27496251463890076,0.002790156053379178,0.27217236161231995,6,99,,,,,
2.901236057281494,2.6585419178009033,0.2426941841840744,6,109,,,,,
,,,6,111,14.847705841064453,14.752585411071777,,,
,,,6,111,,,3.064666271209717,2.7196950912475586,0.34497129917144775
1.2745088338851929,0.9680839776992798,0.3064248561859131,7,119,,,,,
,,,7,127,16.387807846069336,16.29950523376465,,,
,,,7,127,,,2.614804267883301,2.2827513217926025,0.33205297589302063
9.365431785583496,8.816933631896973,0.5484985113143921,8,129,,,,,
10.00606918334961,9.742706298828125,0.26336315274238586,8,139,,,,,
,,,8,143,10.797402381896973,10.707592010498047,,,
,,,8,143,,,5.032882213592529,4.693171977996826,0.33971095085144043
1.0940884351730347,0.6567227840423584,0.43736568093299866,9,149,,,,,
0.18260298669338226,9.934078661899548e-07,0.18260198831558228,9,159,,,,,
,,,9,159,13.810173034667969,13.704794883728027,,,
,,,9,159,,,3.4231715202331543,3.0900704860687256,0.3331012725830078
0.4052867293357849,0.131956547498703,0.2733301818370819,10,169,,,,,
,,,10,175,16.44229507446289,16.331533432006836,,,
,,,10,175,,,2.1448986530303955,1.8189483880996704,0.3259505331516266
5.324251174926758,5.091361999511719,0.23288941383361816,11,179,,,,,
0.264262855052948,8.951339987106621e-05,0.26417332887649536,11,189,,,,,
,,,11,191,21.086606979370117,20.995378494262695,,,
,,,11,191,,,2.8382153511047363,2.531385660171509,0.3068297803401947
3.091704845428467,2.793816328048706,0.2978886067867279,12,199,,,,,
