train_loss_step,train_task_loss_step,train_concept_loss_step,epoch,step,val_loss,val_task_loss,val_concept_loss,train_c_logit_mean,train_c_logit_std,train_loss_epoch,train_task_loss_epoch,train_concept_loss_epoch
13.226767539978027,12.549702644348145,0.6770651936531067,0,9,,,,,,,,
,,,0,12,8.933213233947754,8.266853332519531,0.666359543800354,-0.05987844616174698,0.17449812591075897,,,
,,,0,12,,,,,,13.38984489440918,12.720231056213379,0.669614315032959
6.549719333648682,5.928303241729736,0.6214162707328796,1,19,,,,,,,,
,,,1,25,7.978405475616455,7.375662803649902,0.6027427315711975,-0.20649529993534088,0.2204386591911316,,,
,,,1,25,,,,,,7.99825382232666,7.358712196350098,0.6395408511161804
9.616703033447266,9.095003128051758,0.5216994881629944,2,29,,,,,,,,
,,,2,38,27.256492614746094,26.730688095092773,0.5258035659790039,-0.4305497705936432,0.2817327678203583,,,
,,,2,38,,,,,,8.179640769958496,7.673829555511475,0.5058110356330872
33.05375289916992,32.54412841796875,0.5096242427825928,3,39,,,,,,,,
5.037236213684082,4.402832984924316,0.6344029903411865,3,49,,,,,,,,
,,,3,51,9.913017272949219,9.232404708862305,0.6806135177612305,-0.015116973780095577,0.289691686630249,,,
,,,3,51,,,,,,11.553180694580078,10.937881469726562,0.6153007745742798
6.010733127593994,5.370853424072266,0.639879584312439,4,59,,,,,,,,
,,,4,64,9.556357383728027,9.032278060913086,0.5240792632102966,-0.4623440206050873,0.5253214240074158,,,
,,,4,64,,,,,,7.43085241317749,6.802465915679932,0.628386378288269
4.120635032653809,3.5938916206359863,0.5267436504364014,5,69,,,,,,,,
,,,5,77,10.584593772888184,10.123200416564941,0.4613931477069855,-0.7570172548294067,0.8780750632286072,,,
,,,5,77,,,,,,6.8119049072265625,6.352889537811279,0.4590151309967041
6.6318864822387695,6.238626003265381,0.39326056838035583,6,79,,,,,,,,
11.804889678955078,11.287637710571289,0.5172524452209473,6,89,,,,,,,,
,,,6,90,8.931869506835938,8.37846565246582,0.5534032583236694,-0.4313369393348694,0.7644257545471191,,,
,,,6,90,,,,,,6.798072338104248,6.25443172454834,0.5436412692070007
8.999072074890137,8.578994750976562,0.42007774114608765,7,99,,,,,,,,
,,,7,103,11.424084663391113,11.159789085388184,0.2642951011657715,-2.208855628967285,1.5699042081832886,,,
,,,7,103,,,,,,5.596570014953613,5.165889263153076,0.43068066239356995
10.492687225341797,10.034738540649414,0.45794904232025146,8,109,,,,,,,,
,,,8,116,14.451834678649902,14.118834495544434,0.33300089836120605,-1.9167200326919556,2.068368673324585,,,
,,,8,116,,,,,,7.996058464050293,7.6238813400268555,0.3721778392791748
5.7734904289245605,5.4479217529296875,0.3255687952041626,9,119,,,,,,,,
0.3905894160270691,0.05918717384338379,0.3314022421836853,9,129,,,,,,,,
,,,9,129,8.991434097290039,8.58394718170166,0.40748658776283264,-1.2143049240112305,1.6275681257247925,,,
,,,9,129,,,,,,6.0332794189453125,5.635433673858643,0.3978461027145386
