train_loss_step,train_task_loss_step,train_concept_loss_step,epoch,step,val_loss,val_task_loss,val_concept_loss,train_loss_epoch,train_task_loss_epoch,train_concept_loss_epoch
2.841769218444824,2.5331673622131348,0.30860188603401184,0,9,,,,,,
,,,0,12,8.779013633728027,8.50424861907959,0.274765282869339,,,
,,,0,12,,,,16.346817016601562,15.889434814453125,0.45738106966018677
2.5188441276550293,2.4267284870147705,0.09211573004722595,1,19,,,,,,
,,,1,25,2.28499174118042,2.077326536178589,0.20766523480415344,,,
,,,1,25,,,,3.6418066024780273,3.3854405879974365,0.2563660740852356
4.851437568664551,4.691458225250244,0.15997916460037231,2,29,,,,,,
,,,2,38,2.82735276222229,2.6350760459899902,0.1922767162322998,,,
,,,2,38,,,,2.711402177810669,2.5238935947418213,0.18750843405723572
0.8546057343482971,0.7608441114425659,0.0937616378068924,3,39,,,,,,
1.8507537841796875,1.7251304388046265,0.12562331557273865,3,49,,,,,,
,,,3,51,2.508847236633301,2.314919948577881,0.19392743706703186,,,
,,,3,51,,,,2.581289291381836,2.3704333305358887,0.21085599064826965
1.8680334091186523,1.6971150636672974,0.1709183305501938,4,59,,,,,,
,,,4,64,2.424060344696045,2.2491002082824707,0.17496013641357422,,,
,,,4,64,,,,2.161151647567749,1.976312518119812,0.1848394125699997
3.0395612716674805,2.8780148029327393,0.16154634952545166,5,69,,,,,,
,,,5,77,2.55452561378479,2.3924763202667236,0.16204935312271118,,,
,,,5,77,,,,1.8134385347366333,1.654618263244629,0.15882009267807007
1.3345681428909302,1.2032370567321777,0.13133110105991364,6,79,,,,,,
1.2317348718643188,1.0237962007522583,0.20793870091438293,6,89,,,,,,
,,,6,90,2.851484537124634,2.693115472793579,0.15836921334266663,,,
,,,6,90,,,,1.730918288230896,1.5758358240127563,0.15508238971233368
3.2957892417907715,3.108502149581909,0.1872871220111847,7,99,,,,,,
,,,7,103,2.6186563968658447,2.4379403591156006,0.1807161271572113,,,
,,,7,103,,,,1.9631333351135254,1.8121381998062134,0.1509949266910553
2.4288060665130615,2.2708938121795654,0.1579122096300125,8,109,,,,,,
,,,8,116,2.642171859741211,2.482297420501709,0.15987426042556763,,,
,,,8,116,,,,1.9749747514724731,1.8160006999969482,0.15897409617900848
3.258822441101074,3.101264715194702,0.1575576215982437,9,119,,,,,,
0.07849571108818054,0.023361146450042725,0.055134568363428116,9,129,,,,,,
,,,9,129,2.6242733001708984,2.4605283737182617,0.16374468803405762,,,
,,,9,129,,,,1.74312424659729,1.5836471319198608,0.15947723388671875
1.8813847303390503,1.724280834197998,0.15710389614105225,10,139,,,,,,
,,,10,142,3.8656909465789795,3.6797730922698975,0.18591783940792084,,,
,,,10,142,,,,2.142198324203491,1.9886382818222046,0.15356016159057617
1.1199852228164673,0.9701777696609497,0.14980749785900116,11,149,,,,,,
,,,11,155,2.7735660076141357,2.5964605808258057,0.17710565030574799,,,
,,,11,155,,,,2.4337716102600098,2.2611563205718994,0.17261561751365662
1.1809577941894531,1.015204668045044,0.16575315594673157,12,159,,,,,,
,,,12,168,2.654594659805298,2.4508237838745117,0.20377089083194733,,,
,,,12,168,,,,1.7765179872512817,1.6164352893829346,0.16008320450782776
1.5376759767532349,1.360533595085144,0.1771424263715744,13,169,,,,,,
1.891064167022705,1.7288002967834473,0.16226382553577423,13,179,,,,,,
,,,13,181,3.295405149459839,3.097498655319214,0.19790637493133545,,,
,,,13,181,,,,1.8422797918319702,1.6719530820846558,0.17032679915428162
1.7211509943008423,1.5358192920684814,0.18533171713352203,14,189,,,,,,
,,,14,194,2.8075053691864014,2.6287834644317627,0.17872199416160583,,,
,,,14,194,,,,1.4934041500091553,1.3370323181152344,0.15637168288230896
