c_accuracy,c_auc,c_f1,y_accuracy,y_auc,y_f1,concept_loss,task_loss,loss,avg_c_y_acc,epoch,step,val_c_accuracy,val_c_auc,val_c_f1,val_y_accuracy,val_y_auc,val_y_f1,val_concept_loss,val_task_loss,val_loss,val_avg_c_y_acc
0.9545454545454543,0.6904761904761905,0.6783718496343083,0.8636363636363636,0.29824561403508776,0.0,0.5357865691184998,0.5705524682998657,1.1063389778137207,0.909090909090909,0,9,,,,,,,,,,
,,,,,,,,,,0,9,0.9487179487179487,0.5647130647130647,0.551307855961247,0.8333333333333334,0.1538479863951562,0.0,0.4732639193534851,0.5135688185691833,0.9868327379226685,0.8910256410256411
0.9242424242424243,0.6428571428571429,0.6221619949559338,0.7272727272727273,0.9166666666666667,0.0,0.2054661214351654,0.47351276874542236,0.6789789199829102,0.8257575757575758,1,19,,,,,,,,,,
,,,,,,,,,,1,19,0.9487179487179487,0.5647130647130647,0.551307855961247,0.8333333333333334,0.9451114922813036,0.0,0.16759666800498962,0.5175172686576843,0.6851139664649963,0.8910256410256411
0.9220779220779219,0.5714285714285714,0.5508202108599162,0.9090909090909091,0.9,0.5,0.21679838001728058,0.26260605454444885,0.4794044494628906,0.9155844155844155,2,29,,,,,,,,,,
,,,,,,,,,,2,29,0.9487179487179487,0.5647130647130647,0.551307855961247,0.8333333333333334,0.9577780709856182,0.0,0.14066238701343536,0.3935202658176422,0.5341826677322388,0.8910256410256411
0.9393939393939392,0.6428571428571429,0.6267167009043683,0.8636363636363636,0.9305555555555556,0.4,0.18099720776081085,0.2240114063024521,0.40500861406326294,0.9015151515151514,3,39,,,,,,,,,,
,,,,,,,,,,3,39,0.9487179487179487,0.5647130647130647,0.551307855961247,0.8846153846153846,0.963407661520869,0.4952380952380952,0.12833423912525177,0.24605734646320343,0.3743915557861328,0.9166666666666666
0.9718614718614718,0.7619047619047619,0.7545991359296603,0.9090909090909091,0.7619047619047619,0.0,0.08675169944763184,0.32416537404060364,0.4109170734882355,0.9404761904761905,4,49,,,,,,,,,,
,,,,,,,,,,4,49,0.9487179487179487,0.5647130647130647,0.551307855961247,0.8589743589743589,0.9676298544223073,0.252465483234714,0.13354086875915527,0.3329008221626282,0.46644172072410583,0.9038461538461539
0.9675324675324675,0.7857142857142857,0.7771351270703027,0.9090909090909091,0.9523809523809523,0.0,0.1167241781949997,0.1954309046268463,0.3121550679206848,0.9383116883116882,5,59,,,,,,,,,,
,,,,,,,,,,5,59,0.9487179487179487,0.5647130647130647,0.551307855961247,0.8461538461538461,0.9512651918312296,0.13675213675213677,0.1367652267217636,0.23086757957935333,0.36763280630111694,0.8974358974358975
0.9177489177489178,0.5714285714285714,0.5495730453270361,0.9545454545454546,0.986111111111111,0.8571428571428571,0.1993236094713211,0.11540446430444717,0.3147280812263489,0.9361471861471862,6,69,,,,,,,,,,
,,,,,,,,,,6,69,0.9487179487179487,0.5647130647130647,0.551307855961247,0.8974358974358975,0.9676298544223071,0.6905982905982906,0.1404651552438736,0.2712916433811188,0.4117567539215088,0.9230769230769231
0.9675324675324675,0.7857142857142857,0.7772221386191082,0.9545454545454546,1.0,0.8,0.07948142290115356,0.07402484863996506,0.15350627899169922,0.961038961038961,7,79,,,,,,,,,,
,,,,,,,,,,7,79,0.9487179487179487,0.5647130647130647,0.551307855961247,0.9230769230769231,0.9676298544223071,0.7481781376518218,0.12542134523391724,0.22609789669513702,0.35151925683021545,0.9358974358974359
0.9285714285714284,0.5714285714285714,0.5525538574724218,0.9545454545454546,0.9824561403508772,0.8,0.1659436672925949,0.16307109594345093,0.32901477813720703,0.9415584415584415,8,89,,,,,,,,,,
,,,,,,,,,,8,89,0.9487179487179487,0.5647130647130647,0.551307855961247,0.8461538461538461,0.9641113603377756,0.13675213675213677,0.13032105565071106,0.2305867075920105,0.36090776324272156,0.8974358974358975
0.8896103896103897,0.5714285714285714,0.5414025288632397,0.9545454545454546,0.9647058823529411,0.888888888888889,0.2682039737701416,0.1938178986310959,0.4620218873023987,0.9220779220779222,9,99,,,,,,,,,,
,,,,,,,,,,9,99,0.9487179487179487,0.5647130647130647,0.551307855961247,0.8974358974358975,0.9573364266760495,0.6262443438914028,0.12991364300251007,0.29747623205184937,0.42738988995552063,0.9230769230769231
0.9372294372294372,0.6190476190476191,0.6024449409183225,0.9545454545454546,0.986111111111111,0.8571428571428571,0.14109265804290771,0.11767749488353729,0.2587701678276062,0.9458874458874459,10,109,,,,,,,,,,
,,,,,,,,,,10,109,0.9487179487179487,0.5647130647130647,0.551307855961247,0.9230769230769231,0.9559290290422365,0.7481781376518218,0.12851731479167938,0.3028077483177185,0.4313250780105591,0.9358974358974359
0.9523809523809523,0.7142857142857143,0.7015068259742626,0.8181818181818182,0.8541666666666667,0.3333333333333333,0.1885341852903366,0.5101674795150757,0.6987016797065735,0.8852813852813852,11,119,,,,,,,,,,
,,,,,,,,,,11,119,0.9487179487179487,0.5647130647130647,0.551307855961247,0.9230769230769231,0.963407661520869,0.7481781376518218,0.12904998660087585,0.32075023651123047,0.4498002529144287,0.9358974358974359
0.8636363636363636,0.5476190476190477,0.5102703775222422,0.9090909090909091,0.9411764705882353,0.8333333333333333,0.2685753405094147,0.2318868786096573,0.5004622340202332,0.8863636363636364,12,129,,,,,,,,,,
,,,,,,,,,,12,129,0.9487179487179487,0.5647130647130647,0.551307855961247,0.8846153846153846,0.9662224567884946,0.553846153846154,0.12848801910877228,0.2903832197189331,0.4188712537288666,0.9166666666666666
