train_loss_step,train_task_loss_step,train_concept_loss_step,epoch,step,val_loss,val_task_loss,val_concept_loss,train_c_logit_mean,train_c_logit_std,train_loss_epoch,train_task_loss_epoch,train_concept_loss_epoch
35.65693283081055,34.99678421020508,0.660149335861206,0,9,,,,,,,,
,,,0,12,23.328916549682617,22.780174255371094,0.5487432479858398,-0.44325053691864014,0.3512018024921417,,,
,,,0,12,,,,,,37.5124397277832,36.84225845336914,0.6701866984367371
22.236623764038086,21.61783790588379,0.6187867522239685,1,19,,,,,,,,
,,,1,25,22.524309158325195,21.90932846069336,0.6149807572364807,-0.23622997105121613,0.2952157258987427,,,
,,,1,25,,,,,,20.654491424560547,20.037445068359375,0.6170486807823181
21.149484634399414,20.515457153320312,0.6340278387069702,2,29,,,,,,,,
,,,2,38,14.215290069580078,13.677396774291992,0.5378928780555725,-0.4655229151248932,0.39096033573150635,,,
,,,2,38,,,,,,13.848262786865234,13.237092971801758,0.6111695766448975
15.046521186828613,14.43606185913086,0.6104593873023987,3,39,,,,,,,,
17.13579750061035,16.52249526977539,0.6133017539978027,3,49,,,,,,,,
,,,3,51,35.52394485473633,34.92549133300781,0.5984581112861633,-0.3055766820907593,0.36840057373046875,,,
,,,3,51,,,,,,13.381819725036621,12.771547317504883,0.6102724075317383
11.424759864807129,10.80488395690918,0.6198762059211731,4,59,,,,,,,,
,,,4,64,20.666269302368164,20.072891235351562,0.5933800339698792,-0.30262112617492676,0.35607296228408813,,,
,,,4,64,,,,,,10.340033531188965,9.727526664733887,0.6125056743621826
4.015320301055908,3.414896011352539,0.6004244089126587,5,69,,,,,,,,
,,,5,77,18.49651527404785,18.061058044433594,0.4354582130908966,-0.908585786819458,0.6782033443450928,,,
,,,5,77,,,,,,6.268462181091309,5.7050018310546875,0.5634598731994629
2.5080389976501465,1.9923272132873535,0.5157116651535034,6,79,,,,,,,,
1.1599351167678833,0.6342003345489502,0.5257347822189331,6,89,,,,,,,,
,,,6,90,22.163753509521484,21.685138702392578,0.4786132574081421,-0.7115601301193237,0.5286878347396851,,,
,,,6,90,,,,,,5.730508327484131,5.195922374725342,0.5345852971076965
12.747152328491211,12.23947525024414,0.507677435874939,7,99,,,,,,,,
,,,7,103,21.161222457885742,20.619470596313477,0.5417531728744507,-0.4594123959541321,0.40539246797561646,,,
,,,7,103,,,,,,8.416902542114258,7.8920207023620605,0.5248813629150391
2.747213125228882,2.1824846267700195,0.5647284388542175,8,109,,,,,,,,
,,,8,116,24.448049545288086,23.942373275756836,0.505678117275238,-0.5743784308433533,0.5267807245254517,,,
,,,8,116,,,,,,7.148826599121094,6.604192733764648,0.5446340441703796
6.708346843719482,6.190616130828857,0.5177308917045593,9,119,,,,,,,,
0.6003814935684204,4.76837158203125e-07,0.6003810167312622,9,129,,,,,,,,
,,,9,129,24.51245880126953,23.91244888305664,0.6000103950500488,-0.2298188954591751,0.4416392147541046,,,
,,,9,129,,,,,,9.376096725463867,8.846010208129883,0.530084490776062
5.918686389923096,5.379755973815918,0.538930356502533,10,139,,,,,,,,
,,,10,142,31.206878662109375,30.7423152923584,0.46456336975097656,-0.7587567567825317,0.9324559569358826,,,
,,,10,142,,,,,,7.154191017150879,6.595148086547852,0.5590429306030273
5.711925506591797,5.198275566101074,0.5136498212814331,11,149,,,,,,,,
,,,11,155,35.438682556152344,35.10028839111328,0.33839094638824463,-1.5448492765426636,1.3691914081573486,,,
,,,11,155,,,,,,6.229380130767822,5.758711814880371,0.4706682860851288
2.2538323402404785,1.8732705116271973,0.3805617094039917,12,159,,,,,,,,
,,,12,168,17.30310821533203,16.7862491607666,0.5168583989143372,-0.5003717541694641,0.47785139083862305,,,
,,,12,168,,,,,,6.94069766998291,6.483829498291016,0.4568668603897095
7.533253192901611,6.966020584106445,0.5672327876091003,13,169,,,,,,,,
2.370502471923828,1.8426986932754517,0.5278037190437317,13,179,,,,,,,,
,,,13,181,32.8083381652832,32.29837417602539,0.5099636912345886,-0.5703678727149963,0.5485511422157288,,,
,,,13,181,,,,,,5.446742534637451,4.9080305099487305,0.5387114882469177
6.056958198547363,5.558639049530029,0.49831900000572205,14,189,,,,,,,,
,,,14,194,38.34751892089844,37.81188201904297,0.5356376767158508,-0.42582523822784424,0.4198521077632904,,,
,,,14,194,,,,,,4.988909721374512,4.476606369018555,0.512303352355957
13.965384483337402,13.335580825805664,0.6298035383224487,15,199,,,,,,,,
,,,15,207,26.03511619567871,25.04139518737793,0.9937235713005066,0.5180252194404602,0.865435004234314,,,
,,,15,207,,,,,,9.734601020812988,8.986944198608398,0.7476560473442078
16.15748405456543,15.22392463684082,0.9335602521896362,16,209,,,,,,,,
12.684812545776367,11.950675964355469,0.7341367602348328,16,219,,,,,,,,
,,,16,220,20.793548583984375,20.119354248046875,0.6741958856582642,-0.16600437462329865,0.6606087684631348,,,
,,,16,220,,,,,,9.733444213867188,8.884220123291016,0.8492245078086853
1.1347229480743408,0.599632978439331,0.5350900292396545,17,229,,,,,,,,
,,,17,233,38.307525634765625,37.87688446044922,0.4306437075138092,-1.0335495471954346,0.9489246010780334,,,
,,,17,233,,,,,,3.932192087173462,3.3787076473236084,0.5534844398498535
3.437711238861084,2.8022937774658203,0.6354175209999084,18,239,,,,,,,,
,,,18,246,49.17697525024414,48.828338623046875,0.34863564372062683,-1.7678812742233276,1.5502269268035889,,,
,,,18,246,,,,,,2.965393304824829,2.4695043563842773,0.495889276266098
3.1225674152374268,2.688539981842041,0.43402737379074097,19,249,,,,,,,,
