train_c_accuracy,train_c_auc,train_c_f1,train_y_accuracy,train_y_auc,train_y_f1,train_concept_loss,train_task_loss,train_loss,loss,epoch,step,val_c_accuracy,val_c_auc,val_c_f1,val_y_accuracy,val_y_auc,val_y_f1,val_concept_loss,val_task_loss,val_loss
0.911255419254303,0.33206281065940857,0.16326530277729034,0.13636364042758942,0.8596490621566772,0.23999999463558197,0.6586318016052246,0.6959594488143921,1.3545912504196167,1.3545912504196167,0,9,,,,,,,,,
,,,,,,,,,,0,9,0.9102563858032227,0.4988698661327362,0.0996059700846672,0.8974359035491943,0.9197784066200256,0.5311355590820312,0.6553085446357727,0.6919198632240295,1.3472284078598022
0.9588744640350342,0.2413325160741806,0.0,0.8636363744735718,0.4912280738353729,0.0,0.5884233713150024,0.661994457244873,1.2504178285598755,1.2504178285598755,1,19,,,,,,,,,
,,,,,,,,,,1,19,0.9487179517745972,0.5271099805831909,0.0,0.8333333134651184,0.8682287335395813,0.0,0.5866144895553589,0.6618539094924927,1.2484683990478516
0.9458874464035034,0.40209653973579407,0.0,0.8636363744735718,0.8596490621566772,0.0,0.48522666096687317,0.6418099403381348,1.1270365715026855,1.1270365715026855,2,29,,,,,,,,,
,,,,,,,,,,2,29,0.9487179517745972,0.5498022437095642,0.0,0.8333333134651184,0.6695089340209961,0.0,0.4771173298358917,0.6445870995521545,1.1217044591903687
0.976190447807312,0.10772764682769775,0.0,0.8636363744735718,0.6491228342056274,0.0,0.3420312702655792,0.6303650140762329,0.9723962545394897,0.9723962545394897,3,39,,,,,,,,,
,,,,,,,,,,3,39,0.9487179517745972,0.5821114778518677,0.0,0.8333333134651184,0.5841817855834961,0.0,0.35418954491615295,0.6357234120368958,0.9899129867553711
0.8917748928070068,0.5409585237503052,0.0,0.8181818127632141,0.5416666865348816,0.0,0.3534581661224365,0.6325961351394653,0.9860543012619019,0.9860543012619019,4,49,,,,,,,,,
,,,,,,,,,,4,49,0.9487179517745972,0.6036773920059204,0.0,0.8333333134651184,0.4993788003921509,0.0,0.27003833651542664,0.6287738084793091,0.8988121151924133
0.9155844449996948,0.5156174302101135,0.0,0.8636363744735718,0.6315789222717285,0.0,0.2941257059574127,0.6066750884056091,0.9008008241653442,0.9008008241653442,5,59,,,,,,,,,
,,,,,,,,,,5,59,0.9487179517745972,0.6405311822891235,0.0,0.8333333134651184,0.4548661708831787,0.0,0.24710217118263245,0.6132513880729675,0.8603535890579224
0.9307359457015991,0.3044975996017456,0.0,0.7727272510528564,0.7058823108673096,0.0,0.2964412271976471,0.6142560839653015,0.910697340965271,0.910697340965271,6,69,,,,,,,,,
,,,,,,,,,,6,69,0.9487179517745972,0.6494655013084412,0.0,0.8333333134651184,0.4286496937274933,0.0,0.24973343312740326,0.5947904586791992,0.8445239067077637
0.8982684016227722,0.5500836372375488,0.0,0.7272727489471436,0.5520833730697632,0.0,0.31412824988365173,0.6242635250091553,0.9383918046951294,0.9383918046951294,7,79,,,,,,,,,
,,,,,,,,,,7,79,0.9487179517745972,0.6730374693870544,0.0,0.8333333134651184,0.40850451588630676,0.0,0.2449774593114853,0.5874301791191101,0.8324076533317566
0.9523809552192688,0.4712674915790558,0.0,0.8636363744735718,0.35087719559669495,0.0,0.21269772946834564,0.5692383050918579,0.7819360494613647,0.7819360494613647,8,89,,,,,,,,,
,,,,,,,,,,8,89,0.9487179517745972,0.6803180575370789,0.0,0.8333333134651184,0.4136924743652344,0.0,0.23852822184562683,0.582216203212738,0.8207444548606873
0.9588744640350342,0.3101802170276642,0.0,0.8181818127632141,0.8888888955116272,0.0,0.22090066969394684,0.5715129971504211,0.7924136519432068,0.7924136519432068,9,99,,,,,,,,,
,,,,,,,,,,9,99,0.9487179517745972,0.6506182551383972,0.0,0.8333333134651184,0.718326210975647,0.0,0.23643676936626434,0.5704960823059082,0.8069328665733337
0.9220778942108154,0.5872939229011536,0.0,0.8181818127632141,0.9305555820465088,0.0,0.27043744921684265,0.5669597387313843,0.8373972177505493,0.8373972177505493,10,109,,,,,,,,,
,,,,,,,,,,10,109,0.9493284821510315,0.6218623518943787,0.048985838890075684,0.8333333134651184,0.9324449300765991,0.0,0.23340801894664764,0.5578126907348633,0.7912207245826721
0.9285714030265808,0.35866451263427734,0.0,0.8636363744735718,1.0,0.0,0.24468545615673065,0.529854416847229,0.7745398879051208,0.7745398879051208,11,119,,,,,,,,,
,,,,,,,,,,11,119,0.9444445371627808,0.606732964515686,0.10020534694194794,0.8333333134651184,0.9563707113265991,0.0,0.23537293076515198,0.5403391718864441,0.7757120728492737
0.8722943663597107,0.5589398741722107,0.19178082048892975,0.7727272510528564,0.929411768913269,0.0,0.28907519578933716,0.5421959161758423,0.8312711119651794,0.8312711119651794,12,129,,,,,,,,,
,,,,,,,,,,12,129,0.9139193892478943,0.5972342491149902,0.16646942496299744,0.8333333134651184,0.9577780365943909,0.0,0.24506038427352905,0.5172842741012573,0.7623447179794312
0.8917748928070068,0.5974581241607666,0.07407407462596893,0.8636363744735718,0.9824561476707458,0.0,0.27941903471946716,0.5063590407371521,0.7857780456542969,0.7857780456542969,13,139,,,,,,,,,
,,,,,,,,,,13,139,0.9200243949890137,0.5818215608596802,0.19191919267177582,0.8333333134651184,0.9535559415817261,0.0,0.2412305474281311,0.5091074109077454,0.7503379583358765
0.948051929473877,0.13747166097164154,0.07692307978868484,0.9090909361839294,0.8999999761581421,0.0,0.1921556442975998,0.4761155843734741,0.6682712435722351,0.6682712435722351,14,149,,,,,,,,,
,,,,,,,,,,14,149,0.9145299196243286,0.5740038752555847,0.20273593068122864,0.8333333134651184,0.9507411122322083,0.0,0.244206503033638,0.4969352185726166,0.7411417365074158
0.8809523582458496,0.38548752665519714,0.1538461595773697,0.8636363744735718,1.0,0.0,0.22762469947338104,0.4417985677719116,0.6694232821464539,0.6694232821464539,15,159,,,,,,,,,
,,,,,,,,,,15,159,0.8846153616905212,0.5745075345039368,0.166889026761055,0.8333333134651184,0.9479262232780457,0.0,0.2549321949481964,0.4792119562625885,0.7341441512107849
0.9004328846931458,0.2420545369386673,0.0416666679084301,0.9090909361839294,0.8999999761581421,0.0,0.22455468773841858,0.4511535167694092,0.6757081747055054,0.6757081747055054,16,169,,,,,,,,,
,,,,,,,,,,16,169,0.9157509207725525,0.5741758346557617,0.23951588571071625,0.8333333134651184,0.9479262232780457,0.0,0.24664698541164398,0.480613648891449,0.7272606492042542
0.9004328846931458,0.6525510549545288,0.3235294222831726,0.9090909361839294,1.0,0.0,0.2560933530330658,0.43261706829071045,0.6887104511260986,0.6887104511260986,17,179,,,,,,,,,
,,,,,,,,,,17,179,0.8986569046974182,0.5739359259605408,0.19435691833496094,0.8589743375778198,0.9352596998214722,0.25246548652648926,0.2508072257041931,0.47020629048347473,0.7210135459899902
0.8593073487281799,0.5691453218460083,0.2857142984867096,0.8636363744735718,0.9583333134651184,0.4000000059604645,0.25588566064834595,0.45930784940719604,0.715193510055542,0.715193510055542,18,189,,,,,,,,,
,,,,,,,,,,18,189,0.8766788840293884,0.5716870427131653,0.17321553826332092,0.8589743375778198,0.9225931167602539,0.25246548652648926,0.25955888628959656,0.4566855728626251,0.7162443995475769
0.8831169009208679,0.4892081320285797,0.32499998807907104,0.8181818127632141,1.0,0.3333333432674408,0.24714942276477814,0.443757027387619,0.6909064650535583,0.6909064650535583,19,199,,,,,,,,,
,,,,,,,,,,19,199,0.8956043720245361,0.5736613869667053,0.21136723458766937,0.8717948794364929,0.9211857914924622,0.3721236288547516,0.25506117939949036,0.4559663236141205,0.7110275030136108
0.8571428656578064,0.33484503626823425,0.029411764815449715,0.8181818127632141,0.9444444179534912,0.0,0.2498139590024948,0.46148785948753357,0.7113018035888672,0.7113018035888672,20,209,,,,,,,,,
,,,,,,,,,,20,209,0.8583638072013855,0.5711924433708191,0.16797778010368347,0.8717948794364929,0.8958526253700256,0.3721236288547516,0.26902616024017334,0.43767812848091125,0.706704318523407
0.9069263935089111,0.5883481502532959,0.2950819730758667,0.8636363744735718,0.9473684430122375,0.0,0.2296033650636673,0.4477275609970093,0.6773309111595154,0.6773309111595154,21,219,,,,,,,,,
,,,,,,,,,,21,219,0.8809524178504944,0.573506236076355,0.1865621656179428,0.8846153616905212,0.9000747799873352,0.4713064730167389,0.26091015338897705,0.44062522053718567,0.7015354037284851
0.8679653406143188,0.5030910968780518,0.18666666746139526,1.0,1.0,1.0,0.24117782711982727,0.3646900951862335,0.6058679223060608,0.6058679223060608,22,229,,,,,,,,,
,,,,,,,,,,22,229,0.8571429252624512,0.5722976326942444,0.16661225259304047,0.8589743375778198,0.89022296667099,0.25641027092933655,0.26935893297195435,0.4280983805656433,0.6974573135375977
0.8484848737716675,0.5434618592262268,0.25531914830207825,0.8636363744735718,1.0,0.5714285969734192,0.30340340733528137,0.427321195602417,0.730724573135376,0.730724573135376,23,239,,,,,,,,,
,,,,,,,,,,23,239,0.8626373410224915,0.5734747648239136,0.17158551514148712,0.9102563858032227,0.893037736415863,0.632478654384613,0.2675971984863281,0.42563727498054504,0.6932344436645508
0.8744588494300842,0.5217657089233398,0.2926829159259796,0.9545454382896423,1.0,0.8571428656578064,0.2693312466144562,0.38515299558639526,0.6544842720031738,0.6544842720031738,24,249,,,,,,,,,
,,,,,,,,,,24,249,0.8595849275588989,0.5711529850959778,0.16840700805187225,0.9102563858032227,0.89022296667099,0.632478654384613,0.27127984166145325,0.41767793893814087,0.6889578700065613
0.8593073487281799,0.6483579874038696,0.31578946113586426,0.8636363744735718,0.9882352948188782,0.5714285969734192,0.29367733001708984,0.43230196833610535,0.7259793281555176,0.7259793281555176,25,259,,,,,,,,,
,,,,,,,,,,25,259,0.8467643857002258,0.5698189735412598,0.15671448409557343,0.9230769276618958,0.8845934867858887,0.6988436579704285,0.2773912847042084,0.40833649039268494,0.6857277750968933
0.9177489280700684,0.34778910875320435,0.17391304671764374,0.8636363744735718,1.0,0.4000000059604645,0.21105742454528809,0.3979223072528839,0.6089797019958496,0.6089797019958496,26,269,,,,,,,,,
,,,,,,,,,,26,269,0.8693528771400452,0.5686386823654175,0.17249417304992676,0.9230769276618958,0.8817785978317261,0.6988436579704285,0.2694980800151825,0.4107455611228943,0.6802436709403992
0.9004328846931458,0.08843537420034409,0.0,0.9545454382896423,1.0,0.0,0.19739142060279846,0.33123067021369934,0.5286220908164978,0.5286220908164978,27,279,,,,,,,,,
,,,,,,,,,,27,279,0.8376067876815796,0.5707160234451294,0.1487797051668167,0.9102563858032227,0.8803712129592896,0.6666666865348816,0.2801753878593445,0.39804214239120483,0.6782174706459045
0.8333333134651184,0.37189701199531555,0.07228915393352509,0.8636363744735718,0.9824561476707458,0.0,0.258487731218338,0.3479500114917755,0.6064377427101135,0.6064377427101135,28,289,,,,,,,,,
,,,,,,,,,,28,289,0.8345543146133423,0.5702009201049805,0.14197026193141937,0.9230769276618958,0.8761489987373352,0.6988436579704285,0.2838725447654724,0.38992661237716675,0.6737991571426392
0.8961039185523987,0.5613309144973755,0.3142857253551483,1.0,1.0,1.0,0.2553311288356781,0.3438505232334137,0.5991816520690918,0.5991816520690918,29,299,,,,,,,,,
,,,,,,,,,,29,299,0.8736264109611511,0.5714099407196045,0.17625273764133453,0.9230769276618958,0.8747415542602539,0.7264957427978516,0.27071452140808105,0.396342396736145,0.6670569181442261
0.850649356842041,0.3085034191608429,0.1265822798013687,0.9090909361839294,1.0,0.5,0.23990491032600403,0.3171898126602173,0.5570946931838989,0.5570946931838989,30,309,,,,,,,,,
,,,,,,,,,,30,309,0.8308913111686707,0.5691079497337341,0.15982834994792938,0.9230769276618958,0.8648898601531982,0.7264957427978516,0.2885458767414093,0.3794570863246918,0.6680029630661011
0.8571428656578064,0.43953633308410645,0.19512194395065308,0.9545454382896423,1.0,0.8571428656578064,0.2651844024658203,0.3265000283718109,0.5916844606399536,0.5916844606399536,31,319,,,,,,,,,
,,,,,,,,,,31,319,0.855311393737793,0.5687703490257263,0.16378337144851685,0.9230769276618958,0.8648898601531982,0.7264957427978516,0.27861452102661133,0.3823431134223938,0.6609576344490051
0.8787878751754761,0.5129401087760925,0.1764705926179886,0.9545454382896423,0.0,0.0,0.24886316061019897,0.28878310322761536,0.5376462936401367,0.5376462936401367,32,329,,,,,,,,,
,,,,,,,,,,32,329,0.8382173180580139,0.570532500743866,0.15430425107479095,0.9230769276618958,0.8648898601531982,0.7264957427978516,0.2861245572566986,0.37219110131263733,0.6583157181739807
0.8095238208770752,0.5800288915634155,0.30158731341362,0.9545454382896423,1.0,0.9230769276618958,0.34085145592689514,0.36848554015159607,0.7093369960784912,0.7093369960784912,33,339,,,,,,,,,
,,,,,,,,,,33,339,0.8351647853851318,0.5707744359970093,0.1522422730922699,0.9230769276618958,0.8592602610588074,0.7264957427978516,0.28622716665267944,0.36822015047073364,0.6544473171234131
0.8571428656578064,0.5309523940086365,0.19512194395065308,0.9545454382896423,1.0,0.6666666865348816,0.2712462246417999,0.28723958134651184,0.5584858059883118,0.5584858059883118,34,349,,,,,,,,,
,,,,,,,,,,34,349,0.8485958576202393,0.5657753348350525,0.1644539088010788,0.9230769276618958,0.8550381064414978,0.7264957427978516,0.2824980318546295,0.36858266592025757,0.6510807275772095
0.8636363744735718,0.3421231508255005,0.05970149114727974,0.9090909361839294,1.0,0.5,0.2319420427083969,0.3255201280117035,0.5574621558189392,0.5574621558189392,35,359,,,,,,,,,
,,,,,,,,,,35,359,0.8351647853851318,0.5696128010749817,0.16298703849315643,0.9230769276618958,0.8564454317092896,0.7264957427978516,0.2875172197818756,0.3612862229347229,0.6488034725189209
0.8701298832893372,0.5521989464759827,0.3333333432674408,0.9545454382896423,1.0,0.8888888955116272,0.24974972009658813,0.31057992577552795,0.5603296756744385,0.5603296756744385,36,369,,,,,,,,,
,,,,,,,,,,36,369,0.8424908518791199,0.5698986053466797,0.15775750577449799,0.9230769276618958,0.8606675863265991,0.7264957427978516,0.28491953015327454,0.3582149147987366,0.6431344151496887
0.8831169009208679,0.3412489593029022,0.1818181872367859,1.0,1.0,1.0,0.24257993698120117,0.23216360807418823,0.4747435450553894,0.4747435450553894,37,379,,,,,,,,,
,,,,,,,,,,37,379,0.8492063879966736,0.5705159902572632,0.15303806960582733,0.9230769276618958,0.8620750308036804,0.7264957427978516,0.2839478552341461,0.35495826601982117,0.6389061212539673
0.8333333134651184,0.4047450125217438,0.25242719054222107,0.9545454382896423,1.0,0.8888888955116272,0.2980128824710846,0.3057701885700226,0.6037830710411072,0.6037830710411072,38,389,,,,,,,,,
,,,,,,,,,,38,389,0.8339439034461975,0.5735167264938354,0.15621082484722137,0.9230769276618958,0.8634824752807617,0.7264957427978516,0.2873288691043854,0.3496449887752533,0.6369738578796387
0.8722943663597107,0.6373622417449951,0.3655914068222046,0.9090909361839294,0.9722222089767456,0.6666666865348816,0.25730276107788086,0.32710185647010803,0.5844045877456665,0.5844045877456665,39,399,,,,,,,,,
,,,,,,,,,,39,399,0.8376067876815796,0.572525143623352,0.1594390720129013,0.9102563858032227,0.8606677055358887,0.6621417999267578,0.286853164434433,0.3476610779762268,0.6345142722129822
0.8744588494300842,0.19659864902496338,0.12121212482452393,0.9545454382896423,1.0,0.800000011920929,0.23763985931873322,0.27588850259780884,0.5135283470153809,0.5135283470153809,40,409,,,,,,,,,
,,,,,,,,,,40,409,0.8522588014602661,0.5738580822944641,0.16618889570236206,0.9230769276618958,0.8606675863265991,0.7264957427978516,0.2839612662792206,0.3456178605556488,0.6295791268348694
0.8636363744735718,0.47718003392219543,0.1818181872367859,0.9545454382896423,1.0,0.8571428656578064,0.26651471853256226,0.2861074209213257,0.5526221394538879,0.5526221394538879,41,419,,,,,,,,,
,,,,,,,,,,41,419,0.8363858461380005,0.5756608247756958,0.15854856371879578,0.9102563858032227,0.8620750308036804,0.6621417999267578,0.2862826883792877,0.340218722820282,0.6265013813972473
0.9069263935089111,0.3737528324127197,0.3384615480899811,0.9090909361839294,1.0,0.800000011920929,0.2563605010509491,0.3294278085231781,0.5857883095741272,0.5857883095741272,42,429,,,,,,,,,
,,,,,,,,,,42,429,0.870573878288269,0.5757810473442078,0.18610496819019318,0.9102563858032227,0.8620750308036804,0.6621417999267578,0.2802267372608185,0.3428800702095032,0.623106837272644
0.8896104097366333,0.3445011377334595,0.1355932205915451,1.0,1.0,1.0,0.23622150719165802,0.2303646057844162,0.4665861129760742,0.4665861129760742,43,439,,,,,,,,,
,,,,,,,,,,43,439,0.8540903925895691,0.5746221542358398,0.16806155443191528,0.9102563858032227,0.8550379872322083,0.6621417999267578,0.28557324409484863,0.33792760968208313,0.6235008835792542
0.8766233921051025,0.36366212368011475,0.21917808055877686,1.0,1.0,1.0,0.26574021577835083,0.24997074902057648,0.5157109498977661,0.5157109498977661,44,449,,,,,,,,,
,,,,,,,,,,44,449,0.8711843490600586,0.5718663334846497,0.18722105026245117,0.9102563858032227,0.8606675863265991,0.6621417999267578,0.28096070885658264,0.3366411626338959,0.6176018118858337
0.8571428656578064,0.4294217526912689,0.1315789520740509,0.9545454382896423,1.0,0.8571428656578064,0.2744155526161194,0.2352680116891861,0.5096835494041443,0.5096835494041443,45,459,,,,,,,,,
,,,,,,,,,,45,459,0.8473748564720154,0.5741603374481201,0.1626344621181488,0.9102563858032227,0.8480010628700256,0.6621417999267578,0.2848449647426605,0.33200278878211975,0.6168477535247803
0.8766233921051025,0.3119733929634094,0.06557376682758331,1.0,1.0,1.0,0.22313688695430756,0.23471850156784058,0.4578554034233093,0.4578554034233093,46,469,,,,,,,,,
,,,,,,,,,,46,469,0.8742368817329407,0.5749536156654358,0.1909758746623993,0.9102563858032227,0.8648898601531982,0.6621417999267578,0.2783251404762268,0.33235275745391846,0.6106778979301453
0.8160173296928406,0.15849146246910095,0.04494382068514824,1.0,1.0,1.0,0.25090011954307556,0.1873364895582199,0.4382365942001343,0.4382365942001343,47,479,,,,,,,,,
,,,,,,,,,,47,479,0.855311393737793,0.5727397799491882,0.17066189646720886,0.9102563858032227,0.8494084477424622,0.6621417999267578,0.2853916883468628,0.3271648585796356,0.6125565767288208
0.9025974273681641,0.2934807538986206,0.21052631735801697,1.0,1.0,1.0,0.2303345948457718,0.22236165404319763,0.4526962637901306,0.4526962637901306,48,489,,,,,,,,,
,,,,,,,,,,48,489,0.8803418278694153,0.5718717575073242,0.21322059631347656,0.9102563858032227,0.8522232174873352,0.6621417999267578,0.27908429503440857,0.326825886964798,0.6059102416038513
